Rank;Account;VOMOVREC;VOXOR;VOROOM;VOGAME;VOLAND;VOMARIO;Sum
87;vudinhquang;4.80;1.75;0.0;0.0;0.0;2.10;8.65
88;ductan;0.0;1.87;0.63;2.70;1.12;2.10;8.41
89;nhok345;0.0;0.0;0.0;6.0;0.28;2.10;8.38
90;pascaltv;6.0;1.75;0.0;0.60;0.0;0.0;8.35
91;logacc999;0.0;1.98;1.37;2.70;1.54;0.70;8.30
92;thiennu274;0.30;1.75;4.13;0.0;0.0;2.10;8.28
93;thanga2pbc;0.0;0.0;0.0;6.0;0.0;2.10;8.10
94;quanganh1906;0.0;0.0;0.0;6.0;0.0;2.10;8.10
95;thotranduc2010;0.0;0.0;0.0;3.90;3.50;0.0;7.40
96;laughing296;6.0;0.35;1.00;0.0;0.0;0.0;7.35
97;freepascalls;0.0;1.05;3.50;2.70;0.0;0.0;7.25
98;petrpan;0.60;2.45;4.13;0.0;0.0;0.0;7.18
99;nhutrg1998;0.0;0.82;0.0;6.0;0.28;0.0;7.10
100;dicolo18;1.80;1.17;4.13;0.0;0.0;0.0;7.09
101;vinhthanh;0.0;1.75;1.00;4.20;0.14;0.0;7.09
102;hoaison99;0.0;0.35;4.13;2.40;0.0;0.0;6.88
103;uyenvtt17;0.30;1.75;1.12;2.70;0.28;0.35;6.50
104;tieppro2013;1.80;1.75;1.75;1.20;0.0;0.0;6.50
105;nghiaxlee;0.0;0.0;0.0;2.70;1.68;2.10;6.48
106;quanganh1999;0.0;2.33;1.75;0.0;0.28;2.10;6.46
107;huykucku;0.0;1.63;4.75;0.0;0.0;0.0;6.38
108;dinhhuu2050;0.0;1.87;0.0;2.40;0.0;2.10;6.37
109;duc99chl;0.0;0.0;0.0;2.40;1.82;2.10;6.32
110;iamlonely;1.20;0.12;0.50;2.40;0.0;2.10;6.32
111;doccocaubai98;4.20;0.0;0.0;0.0;0.0;2.10;6.30
112;lightkuriboh;0.0;0.0;0.0;4.20;0.0;2.10;6.30
113;k28tutq;0.0;2.33;0.38;3.30;0.28;0.0;6.29
114;vava_v1le;0.0;0.0;0.0;6.0;0.28;0.0;6.28
115;lehuyduc;0.0;0.0;0.0;6.0;0.28;0.0;6.28
116;anonymous98;0.0;0.0;0.0;6.0;0.28;0.0;6.28
117;chunga31999;0.0;2.10;1.75;2.40;0.0;0.0;6.25
118;letuandungi95;0.0;1.98;4.13;0.0;0.0;0.0;6.11
119;haubmt98;0.0;2.33;1.37;2.40;0.0;0.0;6.11
120;thundercat26;0.0;0.0;0.0;6.0;0.0;0.0;6.0
121;tungpt;0.0;0.0;0.0;6.0;0.0;0.0;6.0
122;bitagi97;6.0;0.0;0.0;0.0;0.0;0.0;6.0
123;fpbila;0.0;0.0;0.0;6.0;0.0;0.0;6.0
124;arcturus6998;3.0;2.45;0.50;0.0;0.0;0.0;5.95
125;chiena2k43;0.0;2.10;1.75;0.90;0.0;1.05;5.80
126;byn;0.0;1.75;1.00;2.70;0.28;0.0;5.73
127;huynhduy_hmd;0.60;1.75;0.75;2.40;0.0;0.0;5.50
